title,filename,permalink,transcription,translation
"Great Britain Board of Trade plantation reports [5], 1717-1722",991411058805867_Ayer_MS_339_00410-1.tif,https://collections.newberry.org/asset-management/2KXJ8ZS7WOS0D,"815.

They have nam'd General Nicholson for Governor of Carolina, which is a Surprise to every Body that has heard it.  He seems to be too old for such an Undertaking, besides, the Settlem:t of this Colony at present requires a Man of Temper and Understanding, Such a One as Col. Hart who is lately arriv'd from Maryland, who had been recommended to the Lords Justices for that Employment, but Gen:l Nicholson has got it.  I am

Sirs 

Your most obedient & most humble Serv:t
Wm Dopple 

Whitehall
Sept:r 8th 1720

P.S. I have just now rec'd your Letter of the 10:th Ins:t but it is impossible by this Messenger to answer what you desire, but I will do it very plainly I hope by Monday.  In the mean time I am very sure that the french Fishery at Canço was upon the Continent of Nova Scotia; But in case it had been upon the small Isl:ds thereto adjacent, they are within the Limits from w:ch the French are excluded by y:r Treaty.

WD",
"Great Britain Board of Trade plantation reports [5], 1717-1722",991411058805867_Ayer_MS_339_00411-1.tif,https://collections.newberry.org/asset-management/2KXJ8ZS7WOCNO,"817.

Sir,

I have receiv'd the Hon:r of your Letter of the 5th Ins:t N: S: I observe what you say about the Island of Canço.  Tis certain that those little Rocks or Islands mention'd by Gaughan & Capon lye but at a very small Distance from the Continent, yet Boats and small Craft may pass between the Cape and them.  However they are certainly within the Limits assign'd to us by the Treaty.

  Mr. Cumings having presented to the Board an Extract of a Letter he had receiv'd from Cap:t Southack in New England giving an acco:t, that some French with their Indians had this year interrupted Our fishing at Canço & seiz'd to the Value of about ten thousand pounds British Effects &c:a.  The Board immediately made a Representation thereupon (Copies of both which are here inclos'd for your Information).

Upon this Occasion Mr. Cumings acquainted the Board that there is now in Town a LIeu:t of a Man of War who had been several times at Cape Canço and the Islands contiguous to it, & that he had made himself, whilst he was there particular Dra:ts of that part of the Country, which Dra:ts that Gentleman brought to the Board the

Day

Hon:ble Mr. Pulteney",
"Great Britain Board of Trade plantation reports [5], 1717-1722",991411058805867_Ayer_MS_339_00412-0.tif,https://collections.newberry.org/asset-management/2KXJ8ZS7W65MU,"818.

Day after, & the Substance of what he said was to the same Purpose as what is mentioned in the first parag of this Letter.

The Board have receiv'd a Letter from Col. Philips, dated at Annapolis the 26th May last, & a Duplicate being come of the said Letter & all the Papers therein referr'd to, I thought it wou'd not be unacceptable to you to send you the said Duplicates which are here inclos'd.

There have been several Hearings before the Lords Justices in Council upon Complaint against Mr. Lowther for very high Crimes, and the Complainants have fully made out every Article against him, They are to go on, on Tuesday next on other Articles.  I am  

Sir,

Your most obedient and most humble Servant,

Wm Dopple

Whitehall
Oct:r ye 20th: 1720",
"Great Britain Board of Trade plantation reports [5], 1717-1722",991411058805867_Ayer_MS_339_00413-1.tif,https://collections.newberry.org/asset-management/2KXJ8ZS7W6LWP,"821.

Sir

Having nothing to communicate to you from the Board, I am only to acknowledge the Receipt of Your Letter of the 11:th of Novem:r N:S:, and to acquaint you, that according to Your Desire I have writ to the several Governors for an Answer to the Queries mention'd in Your Letter.  I am

Sir

Your most Obedient & most humble Servant,

Wm Dopple

Whitehal
Nov:r y 10:th 1720.

The Hon:ble Mr. Pulteney",
"Great Britain Board of Trade plantation reports [5], 1717-1722",991411058805867_Ayer_MS_339_00415-1.tif,https://collections.newberry.org/asset-management/2KXJ8ZS7WORQB,"825.

Sir

The Lords Commissioners for Trade and Plantations command me to send you the inclos'd Copy of a Map of Canço Harbour drawn by Cap:t Young upon the Place which he did for his own Use without any View to the Disputes between France and Us. And therefore it is to be suppose'd that he has done it without Partiality.  I am

Sir

Your most Obedient & most humble Servant
Wm Dopple

Whitehal.
Novem:r y 24:th 1720.

The Hon:ble Mr. Pulteney.",
"Great Britain Board of Trade plantation reports [5], 1717-1722",991411058805867_Ayer_MS_339_00417-1.tif,https://collections.newberry.org/asset-management/2KXJ8ZS7W6095,"829.

Sir

The Lords Commiss:rs for Trade & Plantations have commanded me to return you their hearty Thanks and Acknowledgments for your Letter of 25th last Month N:S:, relating to the running of Wooll, and they easily conceive. that it is very difficult for you to get any better Information than what you have sent them.

In relation to the Business of Canço mention'd in your Letter to me of y:e 5th of the last Month N:S: I have only to add to my former Letters, that by all the Acco:ts the Board have had, it appears that the French have fish'd not only upon the Islands, but upon Cape Canço it Self.

Since my last Letter, Cap. Young the Lieu:te of the Man of War mention'd therein has given to the Board a Mem:l in Writing, a Copy whereof is here inclos'd for you Information, and tho it does not come up to what you desire, yet there may be some things in that you'd be glad to know.  I am

Sir

Your most obed:t and most humble Servant
Wm Dopple

Whitehall
Nov:r y:e 3d 1720

Hon:ble Dan:l Pulteney Esq:r

P.S.",
"Great Britain Board of Trade plantation reports [5], 1717-1722",991411058805867_Ayer_MS_339_00418-0.tif,https://collections.newberry.org/asset-management/2KXJ8ZS7W62F9,"830.

P.S.

Since the Writing of this I have rec'd your Letter of the 8th Nov:r N:S: & here inclos'd send you the Copy of the Representation relating to Mons:r Hiriberry as you desire.

WD",
"Great Britain Board of Trade plantation reports [5], 1717-1722",991411058805867_Ayer_MS_339_00378-0.tif,https://collections.newberry.org/asset-management/2KXJ8ZS7W7BWI,"750.

Letter from Major Douglas of 25th Aug:st 1712, with several Papers relating thereto .... Leew:d Isl:d Bund  N 164, 165, 166, 169.
 
1714 April 14th
Letter from Lord Bolingbroke with a Petition in Behalf of the Inhabitants of Montserrat .... O 36. 37

July 13th
Order from Montserrat to Mr. Douglas, relating to sending Sollicit:rs to England .... 63

Aug:t 3d
Mem:l from Col. Douglas .... 64

May 13th
Letter to Lord Bolingbroke ....

Carolana.

1699 Oct:r
Doct:r Coxe's Petition & Pretensions, referr'd to this Board from the Lords Justices with a Letter from Mr. Yard .... Propriet:  B Fol:o 122

Nov:r 16th
Letter from Mr Terry Vernon of the 13th with a Pet:n of Doct:r Coxe to the King about the Province of Carolana ....  129

Abstract of the Doctor's Title to that Province Bund D 22

Demonstration of the King of England's just Pretentions to the Province of Carolana Florida & of the present Proprietary under his Majesty .... 23

Account of the Commodities of the Growth & Production of that Province .... 24

Attested Copy of King Charles the 1st Grant of the Province of Carolana ats Florida, anno Regni 5 to S:r Rob:t Heath, then Attorney Gen:l .... 25

17th
Letter to Mr Attorney Gen:l about Doctor Coxe's Title to the said Province .... Entries B fol:o 130",
"Great Britain Board of Trade plantation reports [5], 1717-1722",991411058805867_Ayer_MS_339_00378-1.tif,https://collections.newberry.org/asset-management/2KXJ8ZS7WV7SX,"751.

1699 Dec:r 13th 
Report from Mr. Attorney Gen:l in Answer thereto .... Prop:ls Entries B Fol:o 136.

21st
Rep:n upon Doct:r Coxe's Pet:n to his Majesty, about the Province of Carolana .... 139.

1699/1700 Jan:ry 2d
Order of Council of 21st Ult, upon the foregoing Rep:t relating to Doct:r Coxe's Pretensions .... 143.

9th
Letter from Doct:r Coxe declining his Proposals for settling of Carolana &c .... 144

11th
Rep:n with Doct:r Coxe's account of the Settlements alledg'd by him to have been made in the Province of Carolana Florida .... 146.

Feb:y 15th
Letter from Doct:r Coxe, about some late Discoveries made along the North West Coast of Mexico &c .... 165.

Randolph's Survey of the Plantations .... Plans Gen:l Bund. D Jr: 49.

1688 April 1st:
Letter to the Gov:r  of N. Engl:d ab:t Boundaries .... D:o Entries Vol:o 2d Fol:o 21 & 24.

1699 June 28th
Letter from Mr. Randolph, dated in Carolina ....  Propriet:s A Fol:o 448

1709 June 2d
Letter to Mr. Lecry Boyle with a Represent:n containing a State of her Majesty's Right to places in the West Indies .... Plans Gen:l D Fol:o 294

Extracts of Letters from Brigd:r Hunter & Col:o Spotswood, about the French Settlements on Missisippi .... N.York Bund: B6139 Virginia PN:r 175-191.

1719 July 2d
Mr. Keith's Report about the Passage of the French from Canada to Missisippi .... Propriet:s 2 Jr. 179.",
"Great Britain Board of Trade plantation reports [5], 1717-1722",991411058805867_Ayer_MS_339_00380-1.tif,https://collections.newberry.org/asset-management/2KXJ8ZS7WVHP1,"755.

Louis par la Grace de Dieu Roy de France et de Navarre à tous ceux qui des presentes Lettres verront Salut.  Comme par l'Article 10 du Traité de Paix conclu à Utrect le 11 Avril 1713, entre les Ambassadeurs Extraordinaires et Plenipotentaires du feu Roy nôtre très honoré Seigneur et Bisayeul d'une part, et ceux de feiie[[?]] nôtre très chere & très aimée Soeur la Reine de la Grande Bretagne d'autre il a été stipule qu'il seriot nommé de part et d'autre des Commissaires pour regler les Limites entre la Baye de Hudson et les Lieux qui Nous appartiennent et entre les autres Colonies Françoises & Britanniques êtablies dans le même Pais. aussi bien que ce qui peut avoir rapport à la Satisfaction pretendue par les Interessés de la Compagnie Angloise dans la Baye d'Hudson par les Pertes qu'ils peuvent avoir souffertes pendant la Paix et par Rapport aussi aux autres pretensions que les Sujets de l'une et de l'autre Nation pourraient avenir reciproquement touchant les Dommages qu'ils ont soufferts chacun de leur part de même que ce qui peut regarder la Cession de l'Accadie la Pesche à la Coté de l'Isle de Terreneuve et les

autres 

Possible translation

Louis by the grace of God King of France and from Navarre to all those to whom Letters are presented, Greetings.  As for Article 10 of the Peace Treaty concluded at Utrecht 11 April 1713 between Ambassadors and Plenipoteniaries of the Sun King our very honored Lord and Great-grandfather on one hand and those of F{{?}} our very dear and very loved Sister the Queen of Great Britain and others it was stipulated that someone should be appointed on both sides of Commissioners to settle the Limits between Hudson's Bay and the Places that belong to Us and among French and British Colonies established in the same peace treaty as well as which can have a relationship to the Satisfaction claimed by the Interested British Company in Hudson Bay for the Losses they have suffered during the Peace and in relation to other Pretensions that the Subjects of one Nation or the other could reciprocally affect the Damages that they have each suffered on their part as well looking at the transfer of Accadie Fishing area near the Isle of Newfoundland and the 

others",
"Great Britain Board of Trade plantation reports [5], 1717-1722",991411058805867_Ayer_MS_339_00381-0.tif,https://collections.newberry.org/asset-management/2KXJ8ZS7WVEKQ,"756.

autres points continus dans les Articles 10, 11, 12, 13, 14 & 15 du dit Traité.  Que dans cette venue Notre très cher & très Amé Frère le Roy de la Grande Bretagne aurait nommé ses Commissaires pour travailler conjointement avec Ceux que nous choisissions pour le même Sujet.  Voulant de notre part contribuer autant qu'il est en nous à la perfection et à l'entier Accomplissement du dit Traité.  Nous confiant en la Capacité Expérience L[[?]] & Fidélité pour Notre Service de Notre très Cher & bien Amé Cousin le Comte d'Estrées et de Nanteuil le Houdouin Marchal et Vice Admirai de France, Chevalier des Nos Ordres Grand d'Espagne, Vice Roy de Amérique premier Baron de Boulonnois Gouverneur des Villes et Château de Nantes, Notre Lieutenant General de Comte Nantes président de Con:cl de Marine et Conc:er au Conc:l de Régence et de Notre très Amé et Seal Conc:l en tous Nos Con:ls les:n Abbe Dubois Ministre et Secrétaire d'Etat et de Nos Commandemens et Finances.  Pour ces Couses & autres bonnes Considérations à ce Nous Mouvant, de l'Avis de Notre très Cher & très Amé Oncle le Duc D'Orléans Régent, Nous avons commis, ordonne et députe et par ces présentes signées de Notre Main commettons ordonnons députons les dits S:rs Marachel d'Estrées et Abbé Dubois, et leur avons 

donne

Possible translation but requires further review:

other points continue in Articles 10, 11, 12, 13, 14 & 15 of said Treaty.  That it has come to this Our esteemed and most beloved Brother the King of Great Britain would have appointed his Commissioners to work together with those we chose for the same Subject.  Wanting on our part to contribute as much as it is in us to Accomplish to perfection and to the entire Fulfillment of said Treaty.  Trusting the the Ability, Experience, L[[?]] and Loyalty for Our Service from our esteemed and most dear Cousin the Count of Estrées and Nanteuil-le-Houdouin Marshal and Vice Admiral of France, Knight of Our Great Order of Spain, Viceroy of America, first Baron of Boulonois Governor of the Cities and Chateau of Nantes, Our Lieutenant General of the Count Nantes, president of Navy Council and Counselor to the Regency Council and of our very spirit and Seal Council to all Our Councils Abbey Minister Dubois and Secretary of State and Our Commands and Finances.  For these causes and other valuable Consideration moving Us to this in the opinion of Our esteemed and most beloved Uncle the Duke of Orleans Regent, We have committed, ordered and sent representation and by these present signed by Our Hand commissioning, ordering and sending as representation the said Sir Mar:ch:l of Estrées et Abbé Dubois, and gave them",
"Great Britain Board of Trade plantation reports [5], 1717-1722",991411058805867_Ayer_MS_339_00381-1.tif,https://collections.newberry.org/asset-management/2KXJ8ZS7WVD0W,"757.

donné et donnons plein pouvoir Commissions et Mandement spécial pour en Notre Nom & en Qualité de Nos Commissaires, convenir, negotier, traiter & conclurre avec les Commissaires de Notre dit Frère le Roy de la Grande Bretagne pareillement de pouvoir en bonne Forme tous & chacun les points dont l'Examen et la Discussion ont été remis par les d: Articles au dits Commissaires de part & d'autre arrêter a cet égard et signer tels Traites, Articles et Conventions que les dits S:rs Marechal d'Estrées & Abbe Dubois aviseront bon être; Voulant qu'ils agissent en cette Occasion avec la même Autorité épie Nous ferions et pourrions faire, si Nous y étions presens en personne, encore qu'il y eut quelque Chose qui requit un Mandement plus spécial non contenus en ces d:s présentes.  Promettant en Roy et parole de Roy d'avoir agréable tenir firme et stable à toujours accomplir et exécuter ponctuellement tout ce que les d:s S:rs Marechel d'Estrées et Abbé Dubois auront stipulé promis & signe en Vertu du présent pouvoir, sans jamais y contrevenir ni permettre qu'il y soit contrevenue pour quelque Cause ou sous quelque prétexte que ce puisse être comme aussi d'en faire expédier Nos Lettres de Ratification en bonne Forme pour être échangées dans le Temps dont il sera convenue; Car tel est Notre plaisir, en Témoin de quoi, Nous avons fait mettre Notre Seel à ces présentes 

Donné

Possible translation but should be checked:

given and give full power Commissions and special Mandate in Our Name and in the capacity of Our Commissioners, to agree, negotiate, conclude with the Commissioners of Our said Brother the King of Great Britain in such a powerful way in good Shape each and every Point whose Review and Discussion were submitted by the Articles to said Commissioners on the other side to interrupt in this regard  and to sign such Treaties, Articles and Conventions that the said Sirs Marechal of Estrées & Abbe Dubois advise to be valid; Wanting them to act on this Occasion with the same observed Authority we would and could do if we were present there in person even though there was something that requires a more special mandate not contained herein.  Promising as King and pleased to have the King's word to hold firm and steady to always accomplish and execute punctually all that the said Sirs Marechal of Estrées & Abbe Dubois will have stipulated, promised & signed by Virtue of their present power without ever contravening there or allowing that it to be contravened there for some Cause or under some pretext that it would be to have Our Ratification Letters sent too in good Shape to be exchanged in the Time agreed upon, because such is our pleasure, as a Witness to what, We have put Our Seal to these terms",
"Great Britain Board of Trade plantation reports [5], 1717-1722",991411058805867_Ayer_MS_339_00382-0.tif,https://collections.newberry.org/asset-management/2KXJ8ZS7WV6QO,"758.

Donné à Paris le 24:au Jour d'Octobre l'An de Grace Mille sept Cent dix Neuf et de Notre Règne le Cinquième.  Signé Louis et sur le Replié par le Roy le Duc D'Orléans Régent présent Signe le Blanc et Seele du Grande Sceau en Cire Jaune.


Possible translation but may require additional review:

Performed in Paris the 24th day of October the Year of Grace one thousand seven hundred nineteen and of Our Fifth Reign.  Signed Louis and at the Fold by the King the Duke of Orleans Regent present.  Signed the White and the Great Seal in Yellow Wax.",
"Great Britain Board of Trade plantation reports [5], 1717-1722",991411058805867_Ayer_MS_339_00382-1.tif,https://collections.newberry.org/asset-management/2KXJ8ZS7WVSOD,"759

Louis par la grâce de dieu Roy de France et de Navarre à tous ceux qui des présentes lettres verront, Salut, comme par l'article 10:e du traité de paix.  Conclu à Utrecht le 11e avril 1713 entre les ambassadeurs Extraord:ers et plénipotentiaires du feu Roy notre très honore Seigneur et Bisaqeul d'une part, et ceux de feue notre très chère et très amé Sœur la Reine de la Grande Bretagne d'autre, il a été Stipulé qu'il serait nommé de part et d'autre des Commissaires pour régler les Limites entre La Baye de Hudson et les lieus qui nous apparemment, et entre les autres Colonies françaises et Britanniques établies dans le même pays, aussi bien que ce qui peut avoir rapport à la Satisfaction prétendue par les Intègres de la Compagnie Anglaise dans la Baye d'Hudson par les pertes qu'il peuvent avoir Souffertes pendant la paix, et par rapport aussi aux autres prétentions que les Sujets de l'une et de l'autre Nation pour voient avoir réciproquement touchant des dommages qu'ils ont soufferts chacun leur part, de même que ce qui peut regarder la Cession de l'Acadie, La pèche à la Cote de l'Ile de Terreneuve, et les autres points Contenus dans les articles 10, 11, 12, 13, 14 et 15 déc:t traité que dans cette venue notre très cher et très amé frère le Roy de la Grande Bretagne aurait nommé

Les

Possible translation:

Louis by the grace of God King of France and Navarre, to all those who these present letters shall come, Greetings, as per article 10 of the peace treaty. Concluding at Utrecht the 11th of April 1713 between the ambassadors Extraordinary and plenipotentiaries of the Sun King we are very honored Lord & Besaqeul on one hand and those of our very dear and very beautiful Sister the Queen of Great Britain on the other hand it was stipulated that he would be appointed by both sides of Commissioners to set the Limits between Hudson Bay and the places that apparently, and between the other French and British Colonies established in the same country, as well as what we can have to do with the Satisfaction claimed by integrating them with the English Company in Hudson Bay from the losses that it could have suffered during the peace, and in relation to the other claims that the Subjects of one Nation or the having suffered reciprocally touching damages that they each suffered their share, as well as looking at the Transfer of Acadia, the fishing at the Coast of the Island of Newfoundland, and other points of Contention in Articles 10, 11, 12, 13, 14, and 15 described in the treaty that in the coming of our very dear and very beloved brother the King of Great Britain would have appointed 

The",
"Great Britain Board of Trade plantation reports [5], 1717-1722",991411058805867_Ayer_MS_339_00383-0.tif,https://collections.newberry.org/asset-management/2KXJ8ZS7WV5YU,"760

Les Commissaires pour travailler Conjointement avec ceux que nous choisissions pour le même Sujet.  Voulant de notre part Contribuer autant qu'il est en nous à la perfection et à l'entier accomplissement de traité, nous confiant en al Capacité, expérience, F[[?]], et fidélité pour notre Service, de notre très cher et bien amé Cousin le Comte d'Estrées et de parle.   Le Laudien, Marechal et vice admiral de France, chevalier de nos ordres, grand D'Espagne, vice Roy de L'Amérique, premier Baron de Boulonnais, gouverneur des ville et Château de Nantes, notre Lieutenant General de Comte Nantois, président du Con:el de Marine, et Con:er au Con:el de Régence, et notre amé et Seal Con:er en tous nos Con:els  Les Abbe Dubois Ministre et Secrétaire d'Etat et de nos Commandements et finances.  Pour ces causes et autres bonnes Considérations à ce nous mouvant, de l'avis de notre très cher et très amé oncle de Duc d'Orléans Régence.  Nous avons commis, ordonne, et députe et par ces pressentes Commettons signées de notre main ordonnons et députons lesq. S:rs Marechal d'Estrées et Abbé Dubois, et leur avons donné et donnons plein pouvoir, Commission et Mandement spécial pour en notre nom et en qualité de nos Commissaires

Convenir

Possible translation:

The Commissioners to work jointly with those that we chose for the same topic.  Wanting on our part as much as it is in us to the perfection and to entire fulfillment of the treaty, we are confident in the abilities, experience, F[[?]] and loyalty for our Favor of our esteemed and most dear Cousin and speaking.  The Laudian, Marechal and vice admiral of France, knight of our orders, Spanish grandee, viceroy of America, first Baron of Boulonnais, governor of the town and Chateau of Nantes, our Lieutenant General of Count Nantois, president of the Navy Council, and Counsel to the Regency Council, and our Seal Advisor and all other Advisors the Minister Abbé Dubois and the Secretary of State and our commissions and funds.  For these reasons and other good Consideration to which is moving us in the opinion of our esteemed and very dear uncle of the Duke of Orleans Recency.  We have committed, ordered, and represented and by those present Commit to sign by our hand order and represent which Sirs Marechal of Estrées and Abbé Dubois, and have given them and give them full power, Authority and special Mandate to on our behalf and in the capacity of our Commissioners",
